facility_id,tech_scenario,capex,change_in_electricity_demand_kwh,heat_mmbtu,facility_name,state,fuels,naics_code,naics_description,county_fips,subregion,latitude,longitude,sector,r,t,elec_price,ng_price,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst
1004033,Scenario4,20222359.509669714,130064753.64654246,943611.0064078402,incobrasa industries ltd,IL,['Natural Gas (Weighted U.S. Average)'],311224,Soybean and Other Oilseed Processing,17075,SRMW,40.762424,-88.014319,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1004276,Baseline,417299.6973615218,0,2907748.209574067,chs-rochelle,IL,"['Natural Gas (Weighted U.S. Average)', 'Other Biomass Gases']",325193,Ethyl Alcohol Manufacturing,17141,RFCW,41.89246,-89.03439,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1004276,Scenario1,4101101.2305265698,852176879.0704561,2907748.209574067,chs-rochelle,IL,"['Natural Gas (Weighted U.S. Average)', 'Other Biomass Gases']",325193,Ethyl Alcohol Manufacturing,17141,RFCW,41.89246,-89.03439,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1004276,Scenario2,69239371.42447455,468512344.405433,2907748.209574067,chs-rochelle,IL,"['Natural Gas (Weighted U.S. Average)', 'Other Biomass Gases']",325193,Ethyl Alcohol Manufacturing,17141,RFCW,41.89246,-89.03439,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1004276,Scenario3,3690991.1074739136,766959191.1634105,2907748.209574067,chs-rochelle,IL,"['Natural Gas (Weighted U.S. Average)', 'Other Biomass Gases']",325193,Ethyl Alcohol Manufacturing,17141,RFCW,41.89246,-89.03439,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1004276,Scenario4,62315434.28202711,421661109.96488965,2907748.209574067,chs-rochelle,IL,"['Natural Gas (Weighted U.S. Average)', 'Other Biomass Gases']",325193,Ethyl Alcohol Manufacturing,17141,RFCW,41.89246,-89.03439,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1004477,Baseline,157528.9505632499,0,902284.206558613,michigan sugar co - croswell factory,MI,['Natural Gas (Weighted U.S. Average)'],311313,Beet Sugar Manufacturing,26151,RFCM,43.266053,-82.619552,Food & Beverage,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1004477,Scenario1,1272585.727202375,264433397.8602338,902284.206558613,michigan sugar co - croswell factory,MI,['Natural Gas (Weighted U.S. Average)'],311313,Beet Sugar Manufacturing,26151,RFCM,43.266053,-82.619552,Food & Beverage,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1004477,Scenario2,21485213.57614399,174122587.81111878,902284.206558613,michigan sugar co - croswell factory,MI,['Natural Gas (Weighted U.S. Average)'],311313,Beet Sugar Manufacturing,26151,RFCM,43.266053,-82.619552,Food & Beverage,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1004477,Scenario3,1145327.1544821374,237990058.0742104,902284.206558613,michigan sugar co - croswell factory,MI,['Natural Gas (Weighted U.S. Average)'],311313,Beet Sugar Manufacturing,26151,RFCM,43.266053,-82.619552,Food & Beverage,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
