facility_id,tech_scenario,capex,change_in_electricity_demand_kwh,heat_mmbtu,facility_name,state,fuels,ng_dum,fuel_oils_dum,coal_dum,byproducts_dum,propane_dum,other_dum,naics_code,naics_description,county_fips,subregion,latitude,longitude,sector,elec_price,ng_price,r,t,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst,pollutant_type,grid_emissions_kg_kwh,base_emissions,facility_emissions,base_lcoh
1000034,Scenario2,30827300.033055216,198272866.35222435,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,co2e,0.420276574784,108458.10000000002,1.455191522836685e-11,9.800560581363927
1000034,Scenario2,30827300.033055216,198272866.35222435,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,nox,3.22503912e-4,229.9182759,2.552605636862992e-14,9.800560581363927
1000034,Scenario2,30827300.033055216,198272866.35222435,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,so2,4.0641843200000003e-4,130.71827593,1.451264396767904e-14,9.800560581363927
1000034,Scenario2,30827300.033055216,198272866.35222435,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,pm25,2.9800994399999998e-5,25.45954679,2.82657750427795e-15,9.800560581363927
1000034,Scenario3,1643332.2248390203,341471631.1353809,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,co2e,0.420276574784,108458.10000000002,1.455191522836685e-11,7.059881592700572
1000034,Scenario3,1643332.2248390203,341471631.1353809,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,nox,3.22503912e-4,229.9182759,2.552605636862992e-14,7.059881592700572
1000034,Scenario3,1643332.2248390203,341471631.1353809,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,so2,4.0641843200000003e-4,130.71827593,1.451264396767904e-14,7.059881592700572
1000034,Scenario3,1643332.2248390203,341471631.1353809,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,pm25,2.9800994399999998e-5,25.45954679,2.82657750427795e-15,7.059881592700572
1000034,Scenario4,27744570.02974969,178445579.71700194,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,co2e,0.420276574784,108458.10000000002,1.455191522836685e-11,9.511060078783089
1000034,Scenario4,27744570.02974969,178445579.71700194,1294610.633126485,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,nox,3.22503912e-4,229.9182759,2.552605636862992e-14,9.511060078783089
