"","state","policy_label","tech_clean","naics_description","mean_lcoh_delta","total_emissions","elec_to_ng_ratio_low","elec_to_ng_ratio_high"
"86","MI","Capex: -0%, Elec: -50%","Scenario3","Ethyl Alcohol Manufacturing",1.71637331020771,534064.642121483,3.34655398814285,3.43731477934888
"87","MI","Capex: -100%, Elec: -0%","Scenario3","Ethyl Alcohol Manufacturing",12.7615285772758,534064.642121483,3.34655398814285,3.43731477934888
"88","MI","Capex: -50%, Elec: -0%","Scenario3","Ethyl Alcohol Manufacturing",12.8101309042297,534064.642121483,3.34655398814285,3.43731477934888
"89","MI","Capex: -50%, Elec: -50%","Scenario3","Ethyl Alcohol Manufacturing",1.66777098325379,534064.642121483,3.34655398814285,3.43731477934888
"90","MI","No Policy","Scenario3","Ethyl Alcohol Manufacturing",12.8587332311836,534064.642121483,3.34655398814285,3.43731477934888
"91","CO","Capex: -0%, Elec: -50%","Scenario1","Breweries",2.81000372703157,466147.007893222,3.2164556691952,3.47075961684021
"92","CO","Capex: -100%, Elec: -0%","Scenario1","Breweries",14.9382512426355,466147.007893222,3.2164556691952,3.47075961684021
"93","CO","Capex: -50%, Elec: -0%","Scenario1","Breweries",14.9922538281399,466147.007893222,3.2164556691952,3.47075961684021
"94","CO","Capex: -50%, Elec: -50%","Scenario1","Breweries",2.75600114152722,466147.007893222,3.2164556691952,3.47075961684021
"95","CO","No Policy","Scenario1","Breweries",15.0462564136442,466147.007893222,3.2164556691952,3.47075961684021
"96","CO","Capex: -0%, Elec: -50%","Scenario3","Breweries",1.57416753674506,419532.3071039,3.2164556691952,3.47075961684021
"97","CO","Capex: -100%, Elec: -0%","Scenario3","Breweries",12.4895903007886,419532.3071039,3.2164556691952,3.47075961684021
"98","CO","Capex: -50%, Elec: -0%","Scenario3","Breweries",12.5381926277425,419532.3071039,3.2164556691952,3.47075961684021
"99","CO","Capex: -50%, Elec: -50%","Scenario3","Breweries",1.52556520979115,419532.3071039,3.2164556691952,3.47075961684021
"100","CO","No Policy","Scenario3","Breweries",12.5867949546965,419532.3071039,3.2164556691952,3.47075961684021
"101","MI","Capex: -0%, Elec: -50%","Scenario2","Ethyl Alcohol Manufacturing",-0.445790754241401,326321.259699796,3.34655398814285,3.43731477934888
"102","MI","Capex: -100%, Elec: -0%","Scenario2","Ethyl Alcohol Manufacturing",4.53945704691936,326321.259699796,3.34655398814285,3.43731477934888
"103","MI","Capex: -50%, Elec: -0%","Scenario2","Ethyl Alcohol Manufacturing",5.45118900997979,326321.259699796,3.34655398814285,3.43731477934888
"104","MI","Capex: -50%, Elec: -50%","Scenario2","Ethyl Alcohol Manufacturing",-1.35752271730183,326321.259699796,3.34655398814285,3.43731477934888
"105","MI","No Policy","Scenario2","Ethyl Alcohol Manufacturing",6.36292097304023,326321.259699796,3.34655398814285,3.43731477934888
"106","MN","Capex: -0%, Elec: -50%","Scenario1","Wet Corn Milling and Starch Manufacturing",6.21488624944423,308579.944413773,4.245701207139,5.09644912743735
"107","MN","Capex: -100%, Elec: -0%","Scenario1","Wet Corn Milling and Starch Manufacturing",20.0255172543186,308579.944413773,4.245701207139,5.09644912743735
"108","MN","Capex: -50%, Elec: -0%","Scenario1","Wet Corn Milling and Starch Manufacturing",20.0795198398229,308579.944413773,4.245701207139,5.09644912743735
"109","MN","Capex: -50%, Elec: -50%","Scenario1","Wet Corn Milling and Starch Manufacturing",6.16088366393988,308579.944413773,4.245701207139,5.09644912743735
"110","MN","No Policy","Scenario1","Wet Corn Milling and Starch Manufacturing",20.1335224253273,308579.944413773,4.245701207139,5.09644912743735
"111","MI","Capex: -0%, Elec: -50%","Scenario4","Ethyl Alcohol Manufacturing",-1.35480211554346,293708.973729817,3.34655398814285,3.43731477934888
"112","MI","Capex: -100%, Elec: -0%","Scenario4","Ethyl Alcohol Manufacturing",3.13192090550122,293708.973729817,3.34655398814285,3.43731477934888
"113","MI","Capex: -50%, Elec: -0%","Scenario4","Ethyl Alcohol Manufacturing",3.95247967225561,293708.973729817,3.34655398814285,3.43731477934888
"114","MI","Capex: -50%, Elec: -50%","Scenario4","Ethyl Alcohol Manufacturing",-2.17536088229785,293708.973729817,3.34655398814285,3.43731477934888
"115","MI","No Policy","Scenario4","Ethyl Alcohol Manufacturing",4.77303843901,293708.973729817,3.34655398814285,3.43731477934888
"116","MN","Capex: -0%, Elec: -50%","Scenario3","Wet Corn Milling and Starch Manufacturing",4.81081171023068,277939.749972396,4.245701207139,5.09644912743735
"117","MN","Capex: -100%, Elec: -0%","Scenario3","Wet Corn Milling and Starch Manufacturing",17.2403796146176,277939.749972396,4.245701207139,5.09644912743735
"118","MN","Capex: -50%, Elec: -0%","Scenario3","Wet Corn Milling and Starch Manufacturing",17.2889819415715,277939.749972396,4.245701207139,5.09644912743735
