"","facility_id","tech_scenario","clean_grid_co2e_emissions_mt","onsite_facility_co2e_emissions_mt","baseline_emissions","is_biogenic","diff_scen_baseline","diff_label"
"150",1000311,"eb_boiler_ee",30761.7898188182,0,34640.1,FALSE,-3878.31018118176,"-3,878.31"
"151",1000311,"hp_boiler",30078.7114300407,0,34640.1,FALSE,-4561.38856995934,"-4,561.39"
"152",1000311,"hp_boiler_ee",13196.7223342692,0,34640.1,FALSE,-21443.3776657308,"-21,443.38"
"153",1000319,"eb_boiler",34977.866894256,712833.265,1453730.645,TRUE,-705919.513105744,"-705,919.51"
"154",1000319,"eb_boiler_ee",16315.4579707482,712833.265,1453730.645,TRUE,-724581.922029252,"-724,581.92"
"155",1000319,"hp_boiler",17686.3504341968,712833.265,1453730.645,TRUE,-723211.029565803,"-723,211.03"
"156",1000319,"hp_boiler_ee",7713.6421207536,712833.265,1453730.645,TRUE,-733183.737879246,"-733,183.74"
"157",1000324,"eb_boiler",63820.8883490561,515655.5925,1082090.575,TRUE,-502614.094150944,"-502,614.09"
"158",1000324,"eb_boiler_ee",41193.4910820592,515655.5925,1082090.575,TRUE,-525241.491417941,"-525,241.49"
"159",1000324,"hp_boiler",46250.18370375,515655.5925,1082090.575,TRUE,-520184.79879625,"-520,184.80"
"160",1000324,"hp_boiler_ee",31628.3886981769,515655.5925,1082090.575,TRUE,-534806.593801823,"-534,806.59"
"161",1000325,"eb_boiler",21.4135346504924,133271.843299175,266559.4,TRUE,-133266.143166175,"-133,266.14"
"162",1000325,"eb_boiler_ee",18.3413377017748,133271.843299175,266559.4,TRUE,-133269.215363124,"-133,269.22"
"163",1000325,"hp_boiler",19.3451055169515,133271.843299175,266559.4,TRUE,-133268.211595309,"-133,268.21"
"164",1000325,"hp_boiler_ee",16.9113084132365,133271.843299175,266559.4,TRUE,-133270.645392412,"-133,270.65"
"165",1000328,"eb_boiler",80406.0078647744,0,43572,FALSE,36834.0078647744,"36,834.01"
"166",1000328,"eb_boiler_ee",57113.6509835095,0,43572,FALSE,13541.6509835095,"13,541.65"
"167",1000328,"hp_boiler",50133.3777712083,0,43572,FALSE,6561.37777120825,"6,561.38"
"168",1000328,"hp_boiler_ee",39525.119670842,0,43572,FALSE,-4046.88032915804,"-4,046.88"
"169",1000334,"eb_boiler",640834.670972805,171657.8,415179.3,FALSE,397313.170972805,"397,313.17"
"170",1000334,"eb_boiler_ee",418774.752315747,171657.8,415179.3,FALSE,175253.252315747,"175,253.25"
"171",1000334,"hp_boiler",370866.246151033,171657.8,415179.3,FALSE,127344.746151033,"127,344.75"
"172",1000334,"hp_boiler_ee",244661.401591773,171657.8,415179.3,FALSE,1139.90159177245,"1,139.90"
"173",1000336,"eb_boiler",0,51239.6,51239.6,FALSE,0,"negligible"
"174",1000336,"eb_boiler_ee",0,51239.6,51239.6,FALSE,0,"negligible"
"175",1000336,"hp_boiler",0,51239.6,51239.6,FALSE,0,"negligible"
"176",1000336,"hp_boiler_ee",0,51239.6,51239.6,FALSE,0,"negligible"
"177",1000342,"eb_boiler",4229.48951167257,239767.773939465,242211.2,FALSE,1786.06345113771,"1,786.06"
"178",1000342,"eb_boiler_ee",3622.685217824,239767.773939465,242211.2,FALSE,1179.25915728914,"1,179.26"
"179",1000342,"hp_boiler",3985.69250650807,239767.773939465,242211.2,FALSE,1542.26644597322,"1,542.27"
"180",1000342,"hp_boiler_ee",3484.25472059692,239767.773939465,242211.2,FALSE,1040.82866006205,"1,040.83"
"181",1000344,"eb_boiler",292785.765913652,0,149930,FALSE,142855.765913652,"142,855.77"
"182",1000344,"eb_boiler_ee",210530.756752888,0,149930,FALSE,60600.7567528883,"60,600.76"
"183",1000344,"hp_boiler",146895.229380382,0,149930,FALSE,-3034.77061961842,"-3,034.77"
"184",1000344,"hp_boiler_ee",113741.67261356,0,149930,FALSE,-36188.3273864402,"-36,188.33"
"185",1000345,"eb_boiler",317007.248940786,994946.895,2181551.935,TRUE,-869597.791059213,"-869,597.79"
"186",1000345,"eb_boiler_ee",204613.812499267,994946.895,2181551.935,TRUE,-981991.227500733,"-981,991.23"
"187",1000345,"hp_boiler",225441.712497044,994946.895,2181551.935,TRUE,-961163.327502956,"-961,163.33"
"188",1000345,"hp_boiler_ee",154582.651803292,994946.895,2181551.935,TRUE,-1032022.38819671,"-1,032,022.39"
"189",1000346,"eb_boiler",0,539.2,539.2,FALSE,-1.13686837721616e-13,"negligible"
"190",1000346,"eb_boiler_ee",0,539.2,539.2,FALSE,-1.13686837721616e-13,"negligible"
"191",1000346,"hp_boiler",0,539.2,539.2,FALSE,-1.13686837721616e-13,"negligible"
"192",1000346,"hp_boiler_ee",0,539.2,539.2,FALSE,-1.13686837721616e-13,"negligible"
"193",1000348,"eb_boiler",256477.362835843,664437.455,1539272.5,TRUE,-618357.682164156,"-618,357.68"
"194",1000348,"eb_boiler_ee",165544.514218355,664437.455,1539272.5,TRUE,-709290.530781644,"-709,290.53"
"195",1000348,"hp_boiler",185865.873287966,664437.455,1539272.5,TRUE,-688969.171712034,"-688,969.17"
"196",1000348,"hp_boiler_ee",127105.183489276,664437.455,1539272.5,TRUE,-747729.861510723,"-747,729.86"
"197",1000352,"eb_boiler",169738.573653084,0,91981.3,FALSE,77757.2736530838,"77,757.27"
"198",1000352,"eb_boiler_ee",122052.348582679,0,91981.3,FALSE,30071.0485826787,"30,071.05"
"199",1000352,"hp_boiler",84261.1305171057,0,91981.3,FALSE,-7720.16948289431,"-7,720.17"
"200",1000352,"hp_boiler_ee",65318.2925138376,0,91981.3,FALSE,-26663.0074861624,"-26,663.01"
"201",1000353,"eb_boiler",24779.3419832794,3446.2,23162,TRUE,5063.54198327945,"5,063.54"
"202",1000353,"eb_boiler_ee",11558.3467080259,3446.2,23162,TRUE,-8157.45329197411,"-8,157.45"
"203",1000353,"hp_boiler",12529.5269482844,3446.2,23162,TRUE,-7186.27305171559,"-7,186.27"
"204",1000353,"hp_boiler_ee",5464.56925531301,3446.2,23162,TRUE,-14251.230744687,"-14,251.23"
"205",1000357,"eb_boiler",82878.5959464804,0,37634.3,FALSE,45244.2959464804,"45,244.30"
"206",1000357,"eb_boiler_ee",75145.3547202892,0,37634.3,FALSE,37511.0547202892,"37,511.05"
"207",1000357,"hp_boiler",53349.7272870117,0,37634.3,FALSE,15715.4272870117,"15,715.43"
"208",1000357,"hp_boiler_ee",49369.1236216076,0,37634.3,FALSE,11734.8236216076,"11,734.82"
"209",1000360,"eb_boiler",83406.8513870028,0,28167.3,FALSE,55239.5513870028,"55,239.55"
"210",1000360,"eb_boiler_ee",75624.3196690512,0,28167.3,FALSE,47457.0196690512,"47,457.02"
"211",1000360,"hp_boiler",59331.4285924038,0,28167.3,FALSE,31164.1285924038,"31,164.13"
"212",1000360,"hp_boiler_ee",54904.5099531013,0,28167.3,FALSE,26737.2099531013,"26,737.21"
"213",1000376,"eb_boiler",296880.779827398,0,112816.7,FALSE,184064.079827398,"184,064.08"
"214",1000376,"eb_boiler_ee",269179.409411958,0,112816.7,FALSE,156362.709411958,"156,362.71"
"215",1000376,"hp_boiler",167718.505690695,0,112816.7,FALSE,54901.8056906953,"54,901.81"
"216",1000376,"hp_boiler_ee",155204.460493861,0,112816.7,FALSE,42387.7604938606,"42,387.76"
"217",1000378,"eb_boiler",34485.5159697365,0,23169.9,FALSE,11315.6159697365,"11,315.62"
"218",1000378,"eb_boiler_ee",24495.6039403698,0,23169.9,FALSE,1325.70394036982,"1,325.70"
"219",1000378,"hp_boiler",20891.4544119441,0,23169.9,FALSE,-2278.44558805588,"-2,278.45"
"220",1000378,"hp_boiler_ee",16577.287062278,0,23169.9,FALSE,-6592.61293772201,"-6,592.61"
"221",1000401,"eb_boiler",732028.039127276,1037.1,385541.4,TRUE,347523.739127276,"347,523.74"
"222",1000401,"eb_boiler_ee",478368.095016375,1037.1,385541.4,TRUE,93863.7950163754,"93,863.80"
"223",1000401,"hp_boiler",399835.996915753,1037.1,385541.4,TRUE,15331.6969157525,"15,331.70"
"224",1000401,"hp_boiler_ee",265489.980473722,1037.1,385541.4,TRUE,-119014.319526278,"-119,014.32"
"225",1000405,"eb_boiler",72008.1993070673,0,39373.2,FALSE,32634.9993070673,"32,635.00"
"226",1000405,"eb_boiler_ee",51778.2708637573,0,39373.2,FALSE,12405.0708637573,"12,405.07"
"227",1000405,"hp_boiler",39519.0771891218,0,39373.2,FALSE,145.877189121798,"145.88"
"228",1000405,"hp_boiler_ee",30318.8832127247,0,39373.2,FALSE,-9054.31678727528,"-9,054.32"
"229",1000407,"eb_boiler",44868.7898701641,0,23711,FALSE,21157.7898701641,"21,157.79"
"230",1000407,"eb_boiler_ee",29321.0046454909,0,23711,FALSE,5610.00464549086,"5,610.00"
"231",1000407,"hp_boiler",24507.4728961595,0,23711,FALSE,796.472896159459,"796.47"
"232",1000407,"hp_boiler_ee",16272.8932633661,0,23711,FALSE,-7438.10673663385,"-7,438.11"
"233",1000409,"eb_boiler",504680.438538666,0,245349.3,FALSE,259331.138538666,"259,331.14"
"234",1000409,"eb_boiler_ee",235408.651663334,0,245349.3,FALSE,-9940.64833666611,"-9,940.65"
"235",1000409,"hp_boiler",255188.663169874,0,245349.3,FALSE,9839.36316987372,"9,839.36"
"236",1000409,"hp_boiler_ee",111296.789481223,0,245349.3,FALSE,-134052.510518777,"-134,052.51"
"237",1000413,"eb_boiler",897624.110218048,4725.15,351263.6,TRUE,551085.660218049,"551,085.66"
"238",1000413,"eb_boiler_ee",563381.502344724,4725.15,351263.6,TRUE,216843.052344724,"216,843.05"
"239",1000413,"hp_boiler",534433.12050181,4725.15,351263.6,TRUE,187894.67050181,"187,894.67"
"240",1000413,"hp_boiler_ee",329145.220031345,4725.15,351263.6,TRUE,-17393.2299686545,"-17,393.23"
