facility_id,nei_id,match_type,match_score
1005604,7365311,FRS Link,NA
1005608,8484211,FRS Link,NA
1005623,4017211,FRS Link,NA
1005623,5651611,FRS Link,NA
1005624,7135211,FRS Link,NA
1005640,7923311,FRS Link,NA
1005651,1079311,FRS Link,NA
1005653,7203811,FRS Link,NA
1005657,1463811,FRS Link,NA
1005658,14063511,FRS Link,NA
1005659,14052511,FRS Link,NA
1005675,7721311,FRS Link,NA
1005683,16418911,FRS Link,NA
1005694,7420311,FRS Link,NA
1005706,6559611,FRS Link,NA
1005707,931611,FRS Link,NA
1005721,7366811,FRS Link,NA
1005727,15416111,FRS Link,NA
1005751,7485211,FRS Link,NA
1005753,7939011,FRS Link,NA
1005758,8145011,FRS Link,NA
1005766,791211,FRS Link,NA
1005768,3748411,FRS Link,NA
1005780,8491211,FRS Link,NA
1005791,15757811,FRS Link,NA
1005812,16422811,FRS Link,NA
1005813,553611,FRS Link,NA
1005823,8468011,FRS Link,NA
1005826,15089211,FRS Link,NA
1005838,5737611,FRS Link,NA
1005864,5815011,FRS Link,NA
1005866,7769111,FRS Link,NA
1005867,15490411,FRS Link,NA
1005924,7001211,FRS Link,NA
1005929,13598511,FRS Link,NA
1005935,7768111,FRS Link,NA
1005940,8085211,FRS Link,NA
1005941,16540311,FRS Link,NA
1005947,4862611,FRS Link,NA
1005959,3982611,FRS Link,NA
1005960,16668911,FRS Link,NA
1005970,5934811,FRS Link,NA
1005979,3901811,FRS Link,NA
1005988,7376411,FRS Link,NA
1005991,7048011,FRS Link,NA
1005998,4986811,FRS Link,NA
1006002,8100011,FRS Link,NA
1006005,8121411,FRS Link,NA
1006007,9640411,FRS Link,NA
1006022,12708811,FRS Link,NA
1006030,9166211,FRS Link,NA
1006037,8081911,FRS Link,NA
1006047,8121311,FRS Link,NA
1006048,1609911,FRS Link,NA
1006054,7741011,FRS Link,NA
1006061,7352011,FRS Link,NA
1006063,6821111,FRS Link,NA
1006070,7368711,FRS Link,NA
1006080,8335711,FRS Link,NA
1006081,5354011,FRS Link,NA
1006083,16668311,FRS Link,NA
1006084,5493911,FRS Link,NA
1006104,1996511,FRS Link,NA
1006111,8261211,FRS Link,NA
1006115,7367511,FRS Link,NA
1006138,12691511,FRS Link,NA
1006147,640411,FRS Link,NA
1006155,2685111,FRS Link,NA
1006193,4987411,FRS Link,NA
1006208,12808011,FRS Link,NA
1006208,7891611,FRS Link,NA
1006214,6341211,FRS Link,NA
1006242,8479311,FRS Link,NA
1006245,16669911,FRS Link,NA
1006256,7225711,FRS Link,NA
1006258,2943011,FRS Link,NA
1006262,4801411,FRS Link,NA
1006274,5728911,FRS Link,NA
1006274,17914111,FRS Link,NA
1006275,6642511,FRS Link,NA
1006287,7420411,FRS Link,NA
1006312,7186211,FRS Link,NA
1006319,7924011,FRS Link,NA
1006343,5953011,FRS Link,NA
1006354,7485111,FRS Link,NA
1006356,6755211,FRS Link,NA
1006360,7000311,FRS Link,NA
1006364,16594111,FRS Link,NA
1006366,8026411,FRS Link,NA
1006367,8229011,FRS Link,NA
1006402,5611511,FRS Link,NA
1006412,8352811,FRS Link,NA
1006445,14383011,FRS Link,NA
1006447,16411,FRS Link,NA
1006454,7000211,FRS Link,NA
1006466,4963611,FRS Link,NA
1006467,769711,FRS Link,NA
1006469,10814511,FRS Link,NA
1006479,896611,FRS Link,NA
1006490,15758111,FRS Link,NA
1006520,7219311,FRS Link,NA
1006525,3939911,FRS Link,NA
1006534,12799811,FRS Link,NA
1006543,6445411,FRS Link,NA
1006558,8011211,FRS Link,NA
1006562,6420711,FRS Link,NA
1006565,7448011,FRS Link,NA
1006570,6330311,FRS Link,NA
1006575,7318611,FRS Link,NA
1006580,1137311,FRS Link,NA
1006594,16811,FRS Link,NA
1006608,8325211,FRS Link,NA
1006608,8325811,FRS Link,NA
1006609,9497511,FRS Link,NA
1006617,6430911,FRS Link,NA
1006625,7416411,FRS Link,NA
1006626,7380011,FRS Link,NA
1006637,7996011,FRS Link,NA
1006644,6430011,FRS Link,NA
1006656,4926611,FRS Link,NA
1006662,9431511,FRS Link,NA
1006664,10691811,FRS Link,NA
1006665,4579411,FRS Link,NA
1006665,7363311,FRS Link,NA
1006668,6476911,FRS Link,NA
1006672,15647511,FRS Link,NA
1006673,2439711,FRS Link,NA
1006675,7449811,FRS Link,NA
1006690,3806911,FRS Link,NA
1006703,8215811,FRS Link,NA
1006722,7767811,FRS Link,NA
1006731,556211,FRS Link,NA
1006760,539311,FRS Link,NA
1006776,8522011,FRS Link,NA
1006787,10813811,FRS Link,NA
1006788,7213511,FRS Link,NA
1006797,10679911,FRS Link,NA
1006797,4057911,FRS Link,NA
1006809,6384311,FRS Link,NA
1006814,8465811,FRS Link,NA
1006825,8230411,FRS Link,NA
1006836,9906111,FRS Link,NA
1006866,7937011,FRS Link,NA
1006867,10679911,FRS Link,NA
1006867,4057911,FRS Link,NA
1006874,5047511,FRS Link,NA
1006878,7923811,FRS Link,NA
1006885,7991711,FRS Link,NA
1006890,13411911,FRS Link,NA
1006891,6430411,FRS Link,NA
1006892,7212311,FRS Link,NA
1006896,3761511,FRS Link,NA
1006904,2813111,FRS Link,NA
1006912,14692611,FRS Link,NA
1006936,12657511,FRS Link,NA
1006942,12870111,FRS Link,NA
1006958,535411,FRS Link,NA
1006962,7442111,FRS Link,NA
1006968,1101811,FRS Link,NA
1006988,6964211,FRS Link,NA
1007002,12193311,FRS Link,NA
1007002,4982011,FRS Link,NA
1007002,21608511,FRS Link,NA
1007014,5239711,FRS Link,NA
1007030,10544611,FRS Link,NA
1007031,7202911,FRS Link,NA
1007031,21461711,FRS Link,NA
1007031,21966611,FRS Link,NA
1007041,1062211,FRS Link,NA
1007046,7890711,FRS Link,NA
1007063,9169811,FRS Link,NA
1007069,8240911,FRS Link,NA
1007074,4924711,FRS Link,NA
1007093,8933711,FRS Link,NA
1007098,7193111,FRS Link,NA
1007135,842411,FRS Link,NA
1007137,6535111,FRS Link,NA
1007148,5615211,FRS Link,NA
1007164,5610711,FRS Link,NA
1007176,5720811,FRS Link,NA
1007214,1091211,FRS Link,NA
1007226,8122711,FRS Link,NA
1007253,15622111,FRS Link,NA
1007263,16669611,FRS Link,NA
1007264,16668211,FRS Link,NA
1007271,7426711,FRS Link,NA
1007277,3101011,FRS Link,NA
1007325,7921311,FRS Link,NA
1007325,13571911,FRS Link,NA
1007391,5055111,FRS Link,NA
1007401,8148211,FRS Link,NA
1007438,7908711,FRS Link,NA
1007453,536311,FRS Link,NA
1007511,7364611,FRS Link,NA
1007515,8532311,FRS Link,NA
1007523,16421211,FRS Link,NA
1007525,16845911,FRS Link,NA
1007529,15415311,FRS Link,NA
1007562,4925111,FRS Link,NA
1007565,9654311,FRS Link,NA
1007571,8122811,FRS Link,NA
1007574,9144811,FRS Link,NA
1007603,5810011,FRS Link,NA
1007730,14691411,FRS Link,NA
1007750,8361111,FRS Link,NA
1007767,7069811,FRS Link,NA
1007770,7212911,FRS Link,NA
1007804,6443911,FRS Link,NA
1007809,6699411,FRS Link,NA
1007819,13380811,FRS Link,NA
1007824,9122711,FRS Link,NA
1007830,7054911,FRS Link,NA
1007846,557911,FRS Link,NA
1007847,9421811,FRS Link,NA
1007868,4929511,FRS Link,NA
1007868,13389511,FRS Link,NA
1007871,8244211,FRS Link,NA
1007881,12806011,FRS Link,NA
1007912,5698611,FRS Link,NA
1007915,4302711,FRS Link,NA
1007916,6884211,FRS Link,NA
1007916,17929211,FRS Link,NA
1007917,1019211,FRS Link,NA
1007933,13648011,FRS Link,NA
1007956,770211,FRS Link,NA
1007964,1002811,FRS Link,NA
1007994,8483011,FRS Link,NA
1007998,7777511,FRS Link,NA
1008002,10552711,FRS Link,NA
1008023,2491711,FRS Link,NA
1008025,8216311,FRS Link,NA
1008036,993411,FRS Link,NA
1008038,1016411,FRS Link,NA
1008042,790611,FRS Link,NA
1008042,8055711,FRS Link,NA
1008044,5456011,FRS Link,NA
1008459,7354911,FRS Link,NA
1008708,5768811,FRS Link,NA
1008767,8409011,FRS Link,NA
1008786,7368011,FRS Link,NA
1008999,4880211,FRS Link,NA
1009221,4041311,FRS Link,NA
1009487,8302111,FRS Link,NA
1009505,10716511,FRS Link,NA
1009512,2698911,FRS Link,NA
1009523,9670211,FRS Link,NA
1009528,16510111,FRS Link,NA
1009702,8522811,FRS Link,NA
